DATOS BASE POR FINCA
Nro,Finca,Has,Grupo SC3,Cajas/Año,Cajas/Semana,Pallets/Semana,Pallets/Dia,Tarifa Zungo $/caja,Tarifa Colonia $/caja,Dist Zungo km,Tiempo Zungo min,Dist PA km,Tiempo PA min,Tarifa PA $/viaje (10 pall),Tarifa PA $/viaje (12 pall)
1,PUNTO FIJO,,zungo,408512,7856,146,29.1,359,499,18.2,32,51.7,73,500000,600000
2,ALMENDROS,,zungo,308412,5931,110,22,349,499,15.8,28,48.3,69,500000,600000
3,OASIS,,mini_hub,178360,3430,64,12.7,519,313,22.1,38,9,17,250000,300000
4,DUNAS,,mini_hub,140972,2711,50,10,519,313,20.5,35,10.3,17,250000,300000
5,GUADALUPE,,mini_hub,138684,2667,50,9.9,519,313,18.9,33,12.4,17,250000,300000
6,CHINITA,,centro,525876,10113,188,37.5,499,367,25.1,41,17.5,27,300000,360000
7,SANTA MARTA,,centro,402012,7731,143,28.6,499,367,22.3,38,20.6,32,300000,360000
8,LLAVE,,centro,213408,4104,76,15.2,499,367,27.8,44,13.5,22,300000,360000
9,MATOGROSO 2,,zungo,435500,8375,155,31,295,499,8.5,15,45.2,65,500000,600000
10,MATOGROSO 1,,zungo,346424,6662,124,24.7,295,499,10.2,18,47.8,68,500000,600000
11,SIERRA,,centro,144768,2784,52,10.3,453,453,16.8,28,25,36,370000,444000
12,VILLA FRESIA,,centro,159692,3071,57,11.4,453,453,18.2,30,22.5,34,370000,444000
13,TAGUAL,,centro,232128,4464,83,16.5,453,453,15.5,26,24.8,37,400000,480000
14,SAN FELIPE,,centro,259064,4982,93,18.5,453,453,14.2,24,26.1,38,400000,480000
15,MARITU,,centro,131560,2530,47,9.4,453,453,19.5,32,30.5,44,370000,444000
16,SAN JUAN,,centro,220220,4235,79,15.7,426,514,22.8,37,38.2,54,400000,480000
17,SANTA HELENA,,centro,174564,3357,62,12.4,426,514,24.5,40,40.1,57,400000,480000
18,MARIA BONITA,,centro,407004,7827,145,29,304,514,12.3,21,35.8,51,450000,540000
19,TUCANES,,centro,424996,8173,152,30.3,304,514,13.8,23,33.2,48,450000,540000


SC1: HOY — TARIFA PLANA $/CAJA A ZUNGO
Finca,Grupo,Cajas/dia,Pallets/dia,Viajes/dia (12 pall),$/caja,$/viaje equivalente,Costo/dia
MARITU,centro,453,229218,444000,877,424,214782
SAN JUAN,centro,426,180411,480000,1133,707,299589
SANTA HELENA,centro,426,143008,480000,1430,1004,336992
MARIA BONITA,centro,304,158627,540000,1035,731,381373
TUCANES,centro,304,165639,540000,991,687,374361


COMPARACION 3 ESCENARIOS
,SC1 Hoy (Zungo),SC2 Todos PA,SC3 Con Hub (acido)
Destino,Embarcadero Zungo,Puerto Antioquia,Hub + PA + Zungo
Tarifa,$/caja plana,$/viaje,$/viaje
Viajes/dia,41,41,35
$/viaje promedio,200123,474439,~360000
$/caja promedio,406,963,~810 (acido)
Costo anual (M COP),2133,5058,~3900


SENSIBILIDAD: AHORRO NETO ANUAL (M COP)
Hub→PA \ F→H,,,,,
$300K,706,640,475,310,145
$320K,600,534,370,205,40
$360K,393,327,162,-3,-168
$400K,185,119,-46,-210,-375


ESCALABILIDAD: INGRESOS POR SERVICIO A TERCEROS (M COP)
Tarifa/caja,5% region,10% region,25% region
$30,163,326,816
$42,228,457,1142
$60,326,652,1631
$80,435,870,2175
$100,544,1087,2719
